english_example,method,request_example,db_id
From google download a snapshot of my saved game.,GET,https://www.googleapis.com/games/v1/players/{playerId}/snapshots,7
Get my saved game from google. ,GET,https://www.googleapis.com/games/v1/players/{playerId}/snapshots,8
Remove my push token from google games.,POST,https://www.googleapis.com/games/v1/pushtokens/remove,9
From google games delete the push token.,POST,https://www.googleapis.com/games/v1/pushtokens/remove,10
From google make a new game room.,POST,https://www.googleapis.com/games/v1/rooms/create,11
From google games create a room.,POST,https://www.googleapis.com/games/v1/rooms/create,12
From google games reset all scores.,POST,https://www.googleapis.com/games/v1management/scores/reset,13
Reset all my scores on google games.,POST,https://www.googleapis.com/games/v1management/scores/reset,14
From google games unlock this (achievementId).,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/unlock,15
Unlock this (achievementId) on google games.,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/unlock,16
From google plus please download this (commentId).,GET,https://www.googleapis.com/plus/v1/comments/{commentId},17
Aura please download this (commentId) from google plus for me.,GET,https://www.googleapis.com/plus/v1/comments/{commentId},18
Download the list of turn-based matches I was in from google games.,GET,https://www.googleapis.com/games/v1/turnbasedmatches,19
From google games get the list of turn-based matches I was in.,GET,https://www.googleapis.com/games/v1/turnbasedmatches,20
Upload this (resourceId) with (imageType) extension to google games.,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string],21
Resume the upload to this (resourceId) of this (imageType) to google games with id [token].,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string]&upload_id=[token],22
To google games upload this (resourceId) with (imageType) extension.,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string],23
To google games resume the upload with this (resourceId) of this (imageType) with id [token].,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[string]&upload_id=[token],24
Reset all event progress from this (eventId) on google games.,POST,https://www.googleapis.com/games/v1management/events/{eventId}/reset,25
On google games reset all progress from this (eventId).,POST,https://www.googleapis.com/games/v1management/events/{eventId}/reset,26
Get all the activities of (userId) in the (collection) collection from google plus.,GET,https://www.googleapis.com/plus/v1/people/userId/activities/collection,27
From google plus get my (userId) list of activities in this (collection) collection.,GET,https://www.googleapis.com/plus/v1/people/userId/activities/collection,28
What are all the achievements from my game on google games?,GET,https://www.googleapis.com/games/v1/achievements,29
From google games get the list of my achievements.,GET,https://www.googleapis.com/games/v1/achievements,30
Insert new achievement configuration for my app (applicationId) on google games.,POST,https://www.googleapis.com/games/v1configuration/applications/{applicationId}/achievements,31
"Aura, on google games please insert a new achievement configuration for this (applicationId).",POST,https://www.googleapis.com/games/v1configuration/applications/{applicationId}/achievements,32
Get all the information from this (roomId) on google games.,GET,https://www.googleapis.com/games/v1/rooms/{roomId},33
From google games please get the information on this (roomId) for me. ,GET,https://www.googleapis.com/games/v1/rooms/{roomId},34
Get the metadata for this (leaderboardId) from google games.,GET,https://www.googleapis.com/games/v1/leaderboards/{leaderboardId},35
"google games, grab the metadata for (leaderboardId)",GET,https://www.googleapis.com/games/v1/leaderboards/{leaderboardId},36
Get the profile for {userId) for me from google-plus.,GET,https://www.googleapis.com/plus/v1/people/{userId},37
"google-plus, get the user profile for (userId) for me.",GET,https://www.googleapis.com/plus/v1/people/{userId},38
Increase the number of steps for how close I am to (achievementId) by [numSteps] on google games.,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/setStepsAtLeast?steps=[numSteps],39
On google games increase the amount of steps by [numSteps] for (achievementId).,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/setStepsAtLeast?steps=[numSteps],40
Update all the achievements for my google games.,POST,https://www.googleapis.com/games/v1/achievements/updateMultiple,41
On google games update all the achievements on my account please. ,POST,https://www.googleapis.com/games/v1/achievements/updateMultiple,42
Unmute [screen_name | user_id] on twitter for me.,POST,https://api.twitter.com/1.1/mutes/users/destroy.json,43
On twitter unmute [screen_name | user_id].,POST,https://api.twitter.com/1.1/mutes/users/destroy.json,44
Upload an image to google games at (resourceId) with type (imageType).,POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[uploadType],45
"To google games, upload to this resource (resourceId) with type (imageType).",POST,https://www.googleapis.com/upload/games/v1configuration/images/{resourceId}/imageType/{imageType}?uploadType=[uploadType],46
What is my relation to [screen_name] on twitter?,GET,https://api.twitter.com/1.1/friendships/lookup.json?screen_name=[screen_name],47
What is my relation to [user_id] on twitter?,GET,https://api.twitter.com/1.1/friendships/lookup.json?user_id=[user_id],48
On twitter get the list of all my relations to these [screen_name] users.,GET,https://api.twitter.com/1.1/friendships/lookup.json?screen_name=[screen_name],49
On twitter get the list of all my relations to these [user_id] users.,GET,https://api.twitter.com/1.1/friendships/lookup.json?user_id=[user_id],50
Unfavorite the last status [id] on twitter for me.,POST,https://api.twitter.com/1.1/favorites/destroy.json?id=[id],51
On twitter unfavorite this [id] status.,POST,https://api.twitter.com/1.1/favorites/destroy.json?id=[id],52
Run this script (scriptId) on google scripts for me.,POST,https://script.googleapis.com/v1/scripts/{scriptId}:run,53
On google scripts run (scriptId).,POST,https://script.googleapis.com/v1/scripts/{scriptId}:run,54
Get all the audience changes from {account_id} for the ad campaign on twitter.,GET,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audience_changes,55
From twitter get all the audience changes for the ad campaign for account {account_id}.,GET,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audience_changes,56
Get all the friends from facebook who the page (page),GET,https://graph.facebook.com/{page}?fields=context.fields([fields]),57
From facebook get all my mutual friends of user (page).,GET,https://graph.facebook.com/{page}?fields=context.fields([fields]),58
Get all the object types associated with this (application-id) on facebook graph.,GET,https://graph.facebook.com/v2.9/{application-id}/object_types,59
From facebook graph what are the object types associated with this (application-id).,GET,https://graph.facebook.com/v2.9/{application-id}/object_types,60
Create a new contact with {name} name and email {email} for this (userEmail) on google.,POST,https://www.google.com/m8/feeds/contacts/{userEmail}/full,63
Update the phone number to {phoneNumber} of this (contactId) contact on google please.,PUT,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},64
Get all of my contacts from google.,GET,https://www.google.com/m8/feeds/contacts/{userEmail}/full,61
From google get this (contactId)'s information from this (userEmail) for me.,GET,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},62
Remove this contact (contactId) on this email account (userEmail) for me.,DELETE,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},65
Get all the contact groups for my email on google.,GET,https://www.google.com/m8/feeds/groups/{userEmail}/full,66
Get the information about this contact group (groupID) from my email on google.,GET ,https://www.google.com/m8/feeds/{userEmail}/full/{groupID},67
Delete this contact group from my email on google.,DELETE,https://www.google.com/m8/feeds/groups/{userEmail}/full/{groupID},68
From google get the list of contacts for this (userEmail).,GET,https://www.google.com/m8/feeds/contacts/{userEmail}/full,69
Get this (contactId)'s information from my google e-mail.,GET,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},70
On google create a new contact for me with {email} email and phone number {phoneNumber} on my account. ,POST,https://www.google.com/m8/feeds/contacts/{userEmail}/full,71
"Aura, on google delete this contact (contactId) on my email account.",DELETE,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},73
On google update this (contactId)'s name to {contactName}.,PUT,https://www.google.com/m8/feeds/contacts/{userEmail}/full/{contactId},72
On google retrieve all contact groups for this user (userEmail),GET,https://www.google.com/m8/feeds/groups/{userEmail}/full,74
From google grab the information about this contact group (groupID) for this user (userEmail).,GET ,https://www.google.com/m8/feeds/{userEmail}/full/{groupID},75
On google delete this contact group (groupID) from this user {userEmail}.,DELETE,https://www.google.com/m8/feeds/groups/{userEmail}/full/{groupID},76
Create a new tailored audience for my twitter add campaign on account (accountID).,POST,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audiences,77
On twitter create a new tailored audience for the ad campaign for account (accountID).,POST,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audiences,78
Increase the number of steps by [steps] on my achievement (achievementId) on google games.,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/increment?stepsToIncrement=[steps],79
For google games increase the number of steps by [steps] towards (achievementId) for me. ,POST,https://www.googleapis.com/games/v1/achievements/{achievementId}/increment?stepsToIncrement=[steps],80
Get this comment (comment-id) from facebook.,GET,https://graph.facebook.com/v2.9/{comment-id},81
Delete this comment (comment-id) from facebook.,DELETE,https://graph.facebook.com/v2.9/{comment-id},82
Edit the message {message} in my comment (comment-id) on facebook.,POST,https://graph.facebook.com/v2.9/{comment-id},83
On facebook grab this comment (comment-id) from my account. ,GET,https://graph.facebook.com/v2.9/{comment-id},85
Aura on my facebook account delete comment (comment-id).,DELETE,https://graph.facebook.com/v2.9/{comment-id},84
"facebook, edit comment (comment-id), message {message} ",POST,https://graph.facebook.com/v2.9/{comment-id},86
Associate user [user_id] with line item [line_item_id] on twitter ads for account (account_id).,POST,https://ads-api.twitter.com/1/accounts/{account_id}/promoted_accounts?line_item_id=[line_item_id],87
For twitter ads I want [user_id] linked with [line_item_id] for account (account_id).,POST,https://ads-api.twitter.com/1/accounts/{account_id}/promoted_accounts?line_item_id=[line_item_id],88
Get information about (place-id) from facebook for me.,GET,https://graph.facebook.com/v2.9/{place-id},89
Aura grab some info about (place-id) from facebook please. ,GET,https://graph.facebook.com/v2.9/{place-id},90
Aura what am I allowed to do on this twitter ads account (account_id),GET,https://ads-api.twitter.com/1/accounts/{account_id}/features,91
On twitter ads what features does this account (account_id) have?,GET,https://ads-api.twitter.com/1/accounts/{account_id}/features,92
Post my score [score] to this leaderboard (leaderboardId) on google games.,POST,https://www.googleapis.com/games/v1/leaderboards/{leaderboardId}/scores,93
"Aura send score google leaderboard (leaderboardId), score [score].",POST,https://www.googleapis.com/games/v1/leaderboards/{leaderboardId}/scores,94
Get my last few favorite tweets.,GET,https://api.twitter.com/1.1/favorites/list.json,95
For [screen_name] get their last few favorite tweets.,GET,https://api.twitter.com/1.1/favorites/list.json,96
Get all the videos made by this user (user-id) from facebook.,GET,https://graph.facebook.com/v2.9/{user-id}/videos,97
Get only the videos uploaded by (user-id) on facebook.,GET,https://graph.facebook.com/v2.9/{user-id}/videos/uploaded,98
Upload this {source} to this page (page-id) for facebook.,POST,https://graph-video.facebook.com/v2.9/{page-id}/videos?source=[source],99
Upload video {source} to my facebook page.,POST,https://graph-video.facebook.com/v2.9/{user-id}/videos?source=[source],100
"grab videos from (user-id), facebook",GET,https://graph.facebook.com/v2.9/{user-id}/videos,101
Upload video {video} to event page (event-id) on facebook.,POST,https://graph-video.facebook.com/v2.9/{event-id}/videos?source=[source],104
"facebook, videos (user-id) user uploaded.",GET,https://graph.facebook.com/v2.9/{user-id}/videos/uploaded,102
upload {source} to page (page-id) facebook,POST,https://graph-video.facebook.com/v2.9/{page-id}/videos?source=[source],103
"facebook, post {source} video.",POST,https://graph-video.facebook.com/v2.9/{user-id}/videos?source=[source],105
"facebook, post video {video}, event page (event-id)",POST,https://graph-video.facebook.com/v2.9/{event-id}/videos?source=[source],106
"Create new application event tag for (account-id) on twitter with [app_store_identifier], [os_type] and [conversion_type].",POST,https://ads-api.twitter.com/1/accounts/{account_id}/app_event_tags,107
"On twitter, create event tag for (account-id) with [app_store_identifier],[os_type] and [conversion_type].",POST,https://ads-api.twitter.com/1/accounts/{account_id}/app_event_tags,108
Get the count of report requests from (date) off  of mws.,POST,https://mws.amazonservices.com/Reports/{date},109
get mws reports request count from (date),POST,https://mws.amazonservices.com/Reports/{date},110
Get estimated list of fees for these products and marketplaces [FeesEstimateRequestList] for this (date).,POST,https://mws.amazonservices.com/Products/{date}?action=[action]&FeesEstimateRequestList=[FeesEstimateRequestList],111
"mws, for date (date) estimate list of fees for these products and marketplaces [FeesEstimateRequestList]",POST,https://mws.amazonservices.com/Products/{date}?action=[action]&FeesEstimateRequestList=[FeesEstimateRequestList],112
Get my (user-id) different friends lists on facebook.,GET,https://graph.facebook.com/v2.9/{user-id}/friendlists,113
On facebook get the different friends list I (user-id) have.,GET,https://graph.facebook.com/v2.9/{user-id}/friendlists,114
Return a list of all my mws marketplace subscriptions for [marketPlaceId].,POST,https://mws.amazonservices.com/Subscriptions/2013-07-01?Action=[action]&MarketplaceId=[marketPlaceId],115
mws. return all subs for [marketPlaceId],POST,https://mws.amazonservices.com/Subscriptions/2013-07-01?Action=[action]&MarketplaceId=[marketPlaceId],116
Remove these permissions [feature_keys] from my sandbox twitter ad account (account_id),DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/features?feature_keys=[feature_keys],117
Delete features [feature_keys] from my twitter ad account (account_id),DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/features?feature_keys=[feature_keys],118
What user behaviors can I target on twitter ads?,GET,https://ads-api.twitter.com/1/targeting_criteria/behaviors,119
On twitter ads what are some identified behavior groups?,GET,https://ads-api.twitter.com/1/targeting_criteria/behaviors,120
I (account_id) do not want to know about this app event provider (id) any longer on twitter ads.,DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/app_event_provider_configurations/{id},121
"twitter ads, disassociate app event provider (id) for my (account_id) account.",DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/app_event_provider_configurations/{id},122
Get information about this link (link-id) shared on facebook.,GET,https://graph.facebook.com/v2.9/{link-id},123
remove this link (link-id) I shared on facebook,DELETE,https://graph.facebook.com/v2.9/{link-id},124
"Facebook, more info on link (link-id)",GET,https://graph.facebook.com/v2.9/{link-id},125
on facebook delete link (link-id),DELETE,https://graph.facebook.com/v2.9/{link-id},126
Upload this image [media_data] to my twitter ,POST,https://upload.twitter.com/1.1/media/upload.json?media_data=[media_data],127
"twitter, post pic [media_data]",POST,https://upload.twitter.com/1.1/media/upload.json?media_data=[media_data],128
Which of my friends like this page (page-id) on facebook?,GET,https://graph.facebook.com/v2.9/{page-id}?fields=context.fields(friends_who_like),129
On facebook what friends of mine like this page (page-id)?,GET,https://graph.facebook.com/v2.9/{page-id}?fields=context.fields(friends_who_like),130
What lists am I [screen_name] subscribed to on twitter?,GET,https://api.twitter.com/1.1/lists/list.json?screen_name=[screen_name],131
What lists does [screen_name] subscribe to on twitter?,GET,https://api.twitter.com/1.1/lists/list.json?screen_name=[screen_name],132
What are the comments on my latest life news (life-event-id) on facebook?,GET,https://graph.facebook.com/v2.9/{life-event-id}/comments,133
Post [message] to my life news (life-event-id) on facebook.,POST,https://graph.facebook.com/v2.9/{life-event-id}/comments,134
Who's commenting on my big news (life-event-id) on facebook?,GET,https://graph.facebook.com/v2.9/{life-event-id}/comments,135
"Add message ""[message]"" to my life event (life-event-id) on facebook",POST,https://graph.facebook.com/v2.9/{life-event-id}/comments,136
Get this ad group (line_item_id) from my (account_id) twitter ads.,GET,https://ads-api.twitter.com/1/accounts/{account_id}/line_items/{line_item_id},137
What information do we have on this ad group (line_item_id) on my twitter ads account?,GET,https://ads-api.twitter.com/1/accounts/{account_id}/line_items/{line_item_id},138
"Create new ad campaign on yahoo gemini with these attributes status (status), campaign name (campaignName), budget (budget), budget type (budgetType), advertiser id (advertiserId), channel (channel)",POST,POST https://api.admanager.yahoo.com/v1/rest/campaign,139
"On yahoo gemini create campaign with  status (status), campaign name (campaignName), budget (budget), budget type (budgetType), advertiser id (advertiserId), channel (channel) ",POST,POST https://api.admanager.yahoo.com/v1/rest/campaign,140
What are the settings for this ad campaign (campaignId) on yahoo gemini,GET,https://api.admanager.yahoo.com/v1/rest/campaign/{campaignId},141
"Update ad group (adGroupName) with this info status (status), advertiser (advertiserId), campaign (campaignId), start date (startDateStr), end date (endDateStr), bids (bidSet) on yahoo gemini",PUT,https://api.admanager.yahoo.com/v1/rest/adgroup,142
On yahoo gemini what parameters does campaign (campaignId) have,GET,https://api.admanager.yahoo.com/v1/rest/campaign/{campaignId},143
"On yahoo gemini change (adGroupName) with this info status (status), advertiser (advertiserId), campaign (campaignId), start date (startDateStr), end date (endDateStr), bids (bidSet)",PUT,https://api.admanager.yahoo.com/v1/rest/adgroup,144
What audiences do I belong to for this app (application-id) on facebook,GET,https://graph.facebook.com/v2.9/{application-id}/custom_audience_third_party_id,145
On facebook what audiences does app (application-id) include me in,GET,https://graph.facebook.com/v2.9/{application-id}/custom_audience_third_party_id,146
Get info about about this video card (id) I attached to my (account_id) tweet on twitter ads.,GET,https://ads-api.twitter.com/1/accounts/{account_id}/cards/video_app_download/{id},147
"On twitter ads, what is the information on this video card (id)",GET,https://ads-api.twitter.com/1/accounts/{account_id}/cards/video_app_download/{id},148
What friends were tagged at this place (open-graph-context-id) on facebook,GET,https://graph.facebook.com/v2.9/{open-graph-context-id}/friends_tagged_at,149
On facebook what friends were tagged here (open-graph-context-id),GET,https://graph.facebook.com/v2.9/{open-graph-context-id}/friends_tagged_at,150
Which of my friends listen to this music (page-id) on facebook,GET,https://graph.facebook.com/v2.9/{page-id}?fields=context.fields(music_listen_friends),151
"On facebook, what friends have listened to this artist (page-id)?",GET,https://graph.facebook.com/v2.9/{page-id}?fields=context.fields(music_listen_friends),152
Remove these members [screen_name] from my list [list_id] on twitter,POST,https://api.twitter.com/1.1/lists/members/destroy_all.json?screen_name=[screen_name]&list_id=[list_id],153
"On twitter remove these people from my list: [screen_name], [list_id]",POST,https://api.twitter.com/1.1/lists/members/destroy_all.json?screen_name=[screen_name]&list_id=[list_id],154
Get a list of all my (user-id) facebook friends,GET,https://graph.facebook.com/v2.9/{user-id}/friends,155
Who are all of my (user-id) friends on facebook,GET,https://graph.facebook.com/v2.9/{user-id}/friends,156
What people does twitter think I should follow?,GET,https://api.twitter.com/1.1/users/suggestions.json,157
Who should I follow on twitter?,GET,https://api.twitter.com/1.1/users/suggestions.json,158
Show me the photos of this wedding (life-event-id),GET,https://graph.facebook.com/v2.9/{life-event-id}/photos,159
What pictures are related to my graduation (life-event-id),GET,https://graph.facebook.com/v2.9/{life-event-id}/photos,160
Get the cover photo for this album (album-id) on facebook,GET,https://graph.facebook.com/v2.9/{album-id}/picture,161
From facebook show me the cover of this album (album-id),GET,https://graph.facebook.com/v2.9/{album-id}/picture,162
Revoke this permission (tailored_audience_permission_id) for this advertising account (account_id) for this audience (tailored_audience_id) on twitter ads,DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audiences/{tailored_audience_id}/permissions/{tailored_audience_permission_id},163
On twitter ads remove permission (tailored_audience_permission_id) from account (account_id) for audience(tailored_audience_id),DELETE,https://ads-api.twitter.com/1/accounts/{account_id}/tailored_audiences/{tailored_audience_id}/permissions/{tailored_audience_permission_id},164
What are some twitter statuses,GET,https://stream.twitter.com/1.1/statuses/sample.json,165
Show me some random twitter statuses,GET,https://stream.twitter.com/1.1/statuses/sample.json,166
Report user [screen_name] for spamming on twitter,POST,https://api.twitter.com/1.1/users/report_spam.json?screen_name=[screen_name],167
"On twitter report for spamming, user [screen_name]",POST,https://api.twitter.com/1.1/users/report_spam.json?screen_name=[screen_name],168
Reset all my achievements on my google game ,POST,https://www.googleapis.com/games/v1management/achievements/reset,169
For my game on the google app store reset my achievements,POST,https://www.googleapis.com/games/v1management/achievements/reset,170
Unsubscribe me from this list [list_id] on twitter,POST,https://api.twitter.com/1.1/lists/subscribers/destroy.json?list_id=[list_id],171
On twitter remove me from this list [list_id],POST,https://api.twitter.com/1.1/lists/subscribers/destroy.json?list_id=[list_id],172
What are other names for this facebook page (page-id),GET,https://graph.facebook.com/v2.9/{page-id}/screennames,173
On facebook show me other names for  page (page-id),GET,https://graph.facebook.com/v2.9/{page-id}/screennames,174
What are some achievements for my facebook page (page-id),GET,https://graph.facebook.com/v2.9/{page-id}/milestones,175
On facebook what are some cool things about this page (page-id),GET,https://graph.facebook.com/v2.9/{page-id}/milestones,176
What information is there on this facebook user (user-id),GET,https://graph.facebook.com/v2.9/{user-id},177
On facebook show me the information on myself (user-id),GET,https://graph.facebook.com/v2.9/{user-id},178
Change the display on this tweet (id) on this advertiser account (account_id) to [display_properties],PUT,https://ads-api.twitter.com/1/accounts/{account_id}/promoted_tweets/{id}?display_properties=[display_properties],179
Change my (account_id) promoted tweet (id) to these new display properties [display_properties],PUT,https://ads-api.twitter.com/1/accounts/{account_id}/promoted_tweets/{id}?display_properties=[display_properties],180
"Update my twitter list [list_id] with name [name], mode [mode] and description [description]",POST,https://api.twitter.com/1.1/lists/update.json?list_id=[list_id]&name=[name]&mode=[mode]&description=[description],181
Change the name of my twitter list [list_id] to name [name].,POST,https://api.twitter.com/1.1/lists/update.json?list_id=[list_id]&name=[name]&mode=[mode]&description=[description],182
Get information about this google game achievement (achievementId),GET,https://www.googleapis.com/games/v1configuration/achievements/{achievementId},183
Check the metadata about this google game achievement (achievementId),GET,https://www.googleapis.com/games/v1configuration/achievements/{achievementId},184
Which tweets of mine were recently retweeted,https://api.twitter.com/1.1/statuses/retweets_of_me.json,GET,185
Check the retweets of my latest tweets,https://api.twitter.com/1.1/statuses/retweets_of_me.json,GET,186
Update this partner managed funding instrument (id) to this limit [funded_amount_local_micro] for my twitter ad account (account_id) ,PUT,https://ads-api.twitter.com/1/accounts/{account_id}/funding_instruments/{id}?funded_amount_local_micro=[funded_amount_local_micro],187
Change this twitter funding instrument (id) on my ad account (account_id) to this amount [funded_amount_local_micro] ,PUT,https://ads-api.twitter.com/1/accounts/{account_id}/funding_instruments/{id}?funded_amount_local_micro=[funded_amount_local_micro],188
What are the user ids of the people who retweeted this tweet [id],GET,https://api.twitter.com/1.1/statuses/retweeters/ids.json?id=[id]&stringify_ids=true,189
Who retweeted this tweet [id],GET,https://api.twitter.com/1.1/statuses/retweeters/ids.json?id=[id]&stringify_ids=true,190
What are the all the tweets recently tweeted by me and and who I follow,GET,https://api.twitter.com/1.1/statuses/home_timeline.json,191
What are my and the people I follow's tweets,GET,https://api.twitter.com/1.1/statuses/home_timeline.json,192
Who are my [user_id] followers on twitter,Get,https://api.twitter.com/1.1/followers/ids.json?user_id=[user_id],193
Who follows this user [user_id] on twitter,Get,https://api.twitter.com/1.1/followers/ids.json?user_id=[user_id],194
Who are user (user-id) and my mutual friends on facebook,GET,https://graph.facebook.com/v2.9/{user-id}?fields=context.fields(all_mutual_friends),195
On facebook what are my and user's (user-id)  mutual friends,GET,https://graph.facebook.com/v2.9/{user-id}?fields=context.fields(all_mutual_friends),196
List the test users on my facebook app (app-id),GET,https://graph.facebook.com/v2.9/{app-id}/accounts/test-users,197
What are the test accounts on my facebook app (app-id),GET,https://graph.facebook.com/v2.9/{app-id}/accounts/test-users,198
Get all the information on the google api (api) with version (version),GET,https://www.googleapis.com/discovery/v1/apis/{api}/{version}/rest,199
Show me what you know about the google api (api) with version (version),GET,https://www.googleapis.com/discovery/v1/apis/{api}/{version}/rest,200
Who am I blocking on twitter,GET,https://api.twitter.com/1.1/blocks/ids.json?stringify_ids=true,201
List all the people I'm blocking on twitter,GET,https://api.twitter.com/1.1/blocks/ids.json?stringify_ids=true,202
Show me the info on my (account_id) twitter ads image ad cards,GET,https://ads-api.twitter.com/1/accounts/{account_id}/cards/image_conversation,203
Get me all the information on this twitter ads account's (account_id) image cards ,GET,https://ads-api.twitter.com/1/accounts/{account_id}/cards/image_conversation,204
Show me all these metrics [metrics] on a facebook video (video-id),GET,https://graph.facebook.com/v2.6/{video-id}/video_insights?metrics=[metrics],205
What are all the metrics [metrics] about this facebook video (video-id),GET,https://graph.facebook.com/v2.6/{video-id}/video_insights?metrics=[metrics],206
What are all the videos on this (page-id) on facebook?,GET,https://graph.facebook./v2.9/{page-id}/videos,207
"From facebook, get me all the videos from this page (page-id)",GET,https://graph.facebook./v2.9/{page-id}/videos,208
"Create a new funding instrument on this twitter ads sandbox account (account_id) with type [type], currency [currency] and start time [start_time]",POST,https://ads-api-sandbox.twitter.com/1/accounts/{account_id}/funding_instruments?type=[type]&currency=[currency]&start_time=[start_time],209
"On my twitter ads sandbox account (account_id) make a funding instruments with type [type], currency [currency] and start time [start_time]",POST,https://ads-api-sandbox.twitter.com/1/accounts/{account_id}/funding_instruments?type=[type]&currency=[currency]&start_time=[start_time],210
List all of the ad campaigns from this twitter ads account (account_id),GET,https://ads-api.twitter.com/1/accounts/{account_id}/campaigns,211
What are my (account_id) campaigns on twitter ads,GET,https://ads-api.twitter.com/1/accounts/{account_id}/campaigns,212
Show me information about this message (message-id) sent from my facebook page,GET,https://graph.facebook.com/v2.9/{message-id},213
From facebook get information about this message (message-id) typed from my page,GET,https://graph.facebook.com/v2.9/{message-id},214
download the picture from (Sam's facebook message yesterday)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,215
the video (Sam just facebook'd me)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,216
download the picture from (Sam's facebook message yesterday)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,217
download the picture from (Sam's facebook message yesterday)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,218
the video (Sam just facebook'd me)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,219
the video (Sam just facebook'd me)\(message_id),GET,graph.facebook.com/v2.9/{message_id}/attachments,220
